height,weight,highestEducation,wages,drinkingOrSmoke,Appearance,dressStyle,lovers,sports,tatoo,houses,hookUp,judgement
176.9,62.6,3,3,1,6,2,0,1,0,1,0,1
174.4,67.0,3,2,0,5,1,1,1,0,0,0,0
173.5,65.7,4,2,1,4,1,3,0,5,0,1,0
170.7,56.7,1,4,1,5,1,1,1,0,0,0,1
171.6,68.6,3,4,3,5,3,2,0,9,2,0,1
174.5,60.9,2,2,1,5,2,1,2,2,1,0,0
179.9,70.1,2,2,2,5,2,2,1,0,0,0,0
181.2,58.7,0,0,1,5,1,1,2,0,1,0,0
171.1,61.5,1,0,0,4,1,1,0,7,1,0,0
172.5,59.9,3,4,1,4,2,0,0,0,0,0,1
183.1,67.6,1,1,3,5,2,1,3,0,1,0,0
167.4,59.9,1,0,0,5,2,1,1,0,0,0,0
176.0,70.5,2,0,3,5,2,1,1,3,1,0,0
174.5,58.6,1,2,1,5,3,0,1,9,2,0,1
173.4,53.1,3,2,1,3,3,1,1,0,1,0,0
177.3,53.9,2,2,2,5,3,1,0,0,0,0,0
177.8,69.0,2,3,0,5,2,1,2,0,0,0,0
183.8,67.8,3,1,1,3,3,0,0,0,0,0,0
167.8,57.9,3,0,1,5,3,1,0,2,0,0,0
176.5,62.4,3,1,0,6,3,1,2,0,1,1,1
174.8,64.2,1,0,2,4,3,2,2,0,2,1,1
171.1,57.9,2,2,3,6,1,1,1,0,0,0,1
167.5,54.8,3,2,1,4,1,2,0,10,0,0,0
176.1,58.9,2,0,1,4,2,1,2,2,2,0,1
175.5,65.5,1,2,0,5,3,0,1,0,0,0,0
173.1,71.0,1,2,1,7,3,2,1,0,1,0,2
169.5,60.8,3,5,1,5,1,0,1,0,1,1,2
176.5,69.7,2,3,1,4,2,2,2,10,1,1,1
165.0,59.5,4,2,3,5,3,1,3,10,0,0,0
167.3,68.6,3,0,0,4,2,1,2,0,1,0,0
180.3,65.6,0,0,2,6,3,0,0,0,0,0,1
183.3,74.5,2,5,3,5,3,0,0,2,1,0,2
172.7,64.7,2,0,1,5,1,0,1,0,0,0,0
176.4,67.0,0,4,1,4,2,0,0,7,2,0,1
178.1,61.2,2,2,2,5,2,1,0,0,2,1,1
173.1,68.8,2,2,1,5,3,1,2,0,0,2,0
178.1,66.3,0,3,1,4,3,1,2,0,1,1,1
168.5,62.0,1,2,1,5,2,1,1,7,1,0,0
170.7,67.4,2,2,3,4,2,1,2,0,0,0,0
168.6,71.5,3,2,1,5,3,0,3,0,0,0,0
167.2,64.1,2,2,3,5,1,1,1,7,1,1,0
182.8,64.6,1,2,0,5,1,0,0,0,0,0,0
177.5,68.6,1,3,1,3,2,1,0,2,2,1,1
177.8,66.9,3,2,1,6,3,1,3,2,1,2,1
178.9,68.0,1,0,0,6,2,1,1,4,3,0,2
176.5,63.4,2,2,1,4,2,1,0,0,2,0,1
167.8,57.7,1,0,1,4,3,1,2,0,2,0,1
179.7,64.6,3,0,1,5,1,1,2,0,0,0,0
170.9,65.4,0,0,1,6,3,0,1,0,1,0,1
174.3,59.1,3,0,3,6,3,2,3,0,2,1,1
177.5,69.7,4,1,3,5,3,2,1,6,1,0,0
166.3,66.7,4,5,3,4,3,2,3,1,1,0,2
166.2,67.8,1,3,1,5,3,1,0,0,0,0,0
172.2,54.8,2,2,2,5,2,0,0,0,0,1,0
166.8,61.4,2,2,1,6,3,0,1,0,0,0,1
181.2,62.1,1,2,1,5,3,3,2,2,0,0,0
171.3,70.4,2,2,1,4,1,1,0,0,2,1,1
174.3,69.5,2,2,1,6,2,1,0,1,0,0,1
174.9,62.9,2,5,1,4,3,2,1,7,0,1,2
175.0,63.3,2,2,1,5,3,1,0,6,0,0,0
173.8,46.3,1,3,1,5,2,2,0,0,0,0,0
163.7,68.2,3,2,1,5,1,0,1,0,0,0,0
166.9,74.5,0,2,1,4,3,1,1,0,1,0,0
